,,,pay as you go,,80/40 income,,,,,,,,,,,x,,,,,,,,
Notes,age,year,"i(R,G) income stearm (real, pretax/Gross)",real Int. (tipps),years out,real interest inflator,real discount rate,ladder amount invested today,inflation rate,inflation infaltor,infl deflator,Nominal interest rate for horizon t,amount in play at time t before t's payout,Taxable gain (in time t dollars),Taxes all in at time t,nominal income at time t pretax,nominal income at time t post tax,real post tax income at time t (today's dollars),total (nominal) discount factor,total discount divisor,nominal income pre tax discounted down,nominal after tax payments disocunted down,,
,,,100,,,,,,,  ,,,,,"0,2",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,54,2025,"3,5",,,,1,"3,5","0,03",1,1,,"312,6009672","16,67242853","3,334485707","3,5","0,1655142935","0,1655142935",1,1,"3,5","0,1655142935",,temp check
,55,2026,"13,4","0,015","0,5","1,007472084","0,992583334","13,30061668","0,03","1,014889157","0,9853292782","0,04545","316,2848502","16,33332817","3,266665634","13,5995147","10,33284906","10,18125871","1,022472494","0,97802142","13,30061668","10,10574771",,"14,37514644"
,56,2027,14,"0,011","1,5","1,016545292","0,983723999","13,77213599","0,03","1,045335831","0,9566303671","0,04133","309,9205615","15,96664441","3,193328882","14,63470164","11,44137275","10,94516462","1,062631218","0,9410602504","13,77213599","10,76702111",,"12,80901681"
,57,2028,13,"0,011","2,5","1,02772729","0,9730207706","12,64927002","0,03","1,076695906","0,9287673467","0,04133","302,8031126","15,62533012","3,125066024","13,99704678","10,87198076","10,09754072","1,106549766","0,9037099194","12,64927002","9,825116853",,"12,51485264"
,58,2029,13,"0,012","3,5","1,042633786","0,9591095299","12,46842389","0,03","1,108996783","0,9017158706","0,04236","296,5324686","15,27908422","3,055816844","14,41695818","11,36114134","10,24452145","1,156277514","0,8648442848","12,46842389","9,825618155",,"12,56111537"
,59,2030,13,"0,012","4,5","1,055145391","0,9477366896","12,32057696","0,03","1,142266687","0,8754523016","0,04236","290,1083037","14,92969834","2,985939668","14,84946693","11,86352726","10,38595225","1,20525743","0,8296982662","12,32057696","9,843147999",,"12,28898775"
,60,2031,"12,5","0,013","5,5","1,073623353","0,9314253432","11,64281679","0,03","1,176534687","0,8499536909","0,04339","283,5320409","14,59663257","2,919326514","14,70668359","11,78735708","10,01870765","1,263155116","0,7916684082","11,64281679","9,331678216",,"12,30245525"
,61,2032,"12,5","0,015","6,5","1,101613564","0,9077593385","11,34699173","0,03","1,211830728","0,8251977581","0,04545","277,3093917","14,24256318","2,848512635","15,1478841","12,29937147","10,14941376","1,334969167","0,749080971","11,34699173","9,21322512",,"12,60371185"
,62,2033,"12,5","0,016","7,5","1,126426372","0,8877633061","11,09704133","0,03","1,24818565","0,801162872","0,04648","270,924228","13,89629379","2,779258757","15,60232062","12,82306187","10,27336107","1,405989233","0,711243","11,09704133","9,12031299",,"12,59255812"
,63,2034,"12,5","0,017","8,5","1,154059233","0,8665066502","10,83133313","0,03","1,285631219","0,777828031","0,04751","264,3888561","13,53625186","2,707250371","16,07039024","13,36313987","10,39422477","1,483694579","0,6739931616","10,83133313","9,006664891",,"12,56111455"
,64,2035,"12,5","0,018","9,5","1,184687732","0,8441042929","10,55130366","0,03","1,324200156","0,7551728457","0,04854","257,6942796","13,17670187","2,635340374","16,55250195","13,91716158","10,50986251","1,568763679","0,6374446409","10,55130366","8,871420063",,"12,50848033"
missing maturities,65,2036,12,"0,018","10,5","1,206012111","0,8291790697","9,950148836","0,03","1,363926161","0,7331775201","0,04854","250,8456131","12,82246868","2,564493735","16,36711393","13,80262019","10,11977084","1,644911468","0,607935454","9,950148836","8,391102173",,"12,17604606"
missing maturities,66,2037,12,"0,018","11,5","1,227720329","0,8145177502","9,774213002","0,03","1,404843945","0,711822835","0,04854","244,3379434","12,46514351","2,493028702","16,85812735","14,36509864","10,22540524","1,724755471","0,5797923341","9,774213002","8,328774072",,"11,86016377"
missing maturities,67,2038,12,"0,018","12,5","1,249819295","0,8001156681","9,601388018","0,03","1,446989264","0,6910901311","0,04854","237,6729","12,09462007","2,418924013","17,36387117","14,94494715","10,32830549","1,808475101","0,552952042","9,601388018","8,263839045",,"11,53664256"
missing maturities,68,2039,12,"0,018","13,5","1,272316042","0,7859682398","9,431618878","0,03","1,490398942","0,6709612923","0,04854","230,8422524","11,72420821","2,344841642","17,8847873","15,53994566","10,42670202","1,896258483","0,5273542659","9,431618878","8,195056635",,"11,20508293"
,69,2040,"11,875","0,018","14,5","1,295217731","0,7720709625","9,16834268","0,03","1,53511091","0,6514187304","0,04854","223,8509327","11,35009859","2,270019718","18,22944206","15,95942234","10,39626664","1,988302869","0,5029414862","9,16834268","8,026655589",,"10,86572427"
,70,2041,"11,75","0,018","15,5","1,31853165","0,7584194131","8,911428103","0,03","1,581164237","0,6324453693","0,04854","216,8213896","10,96587115","2,19317423","18,57867979","16,38550556","10,36293711","2,084815091","0,4796588458","8,911428103","7,859452684",,"10,52451025"
,71,2042,"11,625","0,023","16,5","1,455284676","0,6871507799","7,988127816","0,03","1,628599164","0,6140246304","0,05369","209,7449133","10,58003464","2,116006928","18,93246529","16,81645836","10,32571963","2,370075407","0,4219275037","7,988127816","7,095326295",,"11,2612044"
,72,2043,"11,55","0,024","17,5","1,514430129","0,6603143854","7,626631152","0,03","1,677457139","0,5961404179","0,05472","202,6213087","10,19540801","2,039081601","19,37462996","17,33554836","10,33442104","2,540391632","0,3936400937","7,626631152","6,823966879",,"11,08743801"
,73,2044,"11,5","0,024","18,5","1,550776452","0,644838267","7,415640071","0,03","1,727780854","0,5787771047","0,05472","195,4045793","9,803177884","1,960635577","19,86947982","17,90884424","10,36522902","2,679401862","0,3732176252","7,415640071","6,683896317",,"10,69253858"
,74,2045,"11,375","0,024","19,5","1,587995087","0,6297248701","7,163120398","0,03","1,779614279","0,5619195191","0,05472","188,0657837","9,28555382","1,857110764","20,24311243","18,38600166","10,33145321","2,826018732","0,3538546962","7,163120398","6,505973033",,"10,29095968"
,75,2046,"11,25","0,025","20,5","1,658972705","0,6027826722","6,781305063","0,03","1,833002708","0,5455529312","0,05575","180,559551","8,888730833","1,777746167","20,62128046","18,84353429","10,28014537","3,040901459","0,3288498537","6,781305063","6,196693496",,"10,06619497"
,76,2047,"11,15","0,025","21,5","1,700447022","0,5880806558","6,557099313","0,03","1,887992789","0,52966304","0,05575","173,0080406","8,482867283","1,696573457","21,05111959","19,35454614","10,25138775","3,210431715","0,3114845879","6,557099313","6,028642829",,"9,645198264"
,77,2048,"11,125","0,025","22,5","1,742958198","0,5737372252","6,38282663","0,03","1,944632572","0,5142359612","0,05575","165,3795222","7,959195115","1,591839023","21,63403737","20,04219834","10,30641913","3,389413284","0,2950363135","6,38282663","5,913176313",,"9,219908364"
